Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
9/21/14,410.92,413.53,395.28,402.88,8689.304334,3512853.188,404.2732368
9/20/14,395.86,431.11,390,408.76,19916.52493,8244622.528,413.9588886
9/19/14,426.62,429,378.78,395.86,29732.72036,11879961.74,399.55852
9/18/14,452.99,452.99,407.94,425,22063.88469,9472956.02,429.3421649
9/17/14,463.48,465.57,443.57,452.09,12477.77438,5662482.544,453.8054923
9/16/14,469.47,473.69,462,462.02,5948.759001,2784518.138,468.0838706
9/15/14,475.47,479.62,467.76,469.47,6221.850475,2950421.248,474.2031748
9/14/14,477.99,481.58,473.59,475.49,3884.676527,1854630.018,477.4219951
9/13/14,473.08,480.13,467.43,477.98,5828.263649,2778187.229,476.6749406
9/12/14,477.43,478,462,474.62,6097.711571,2866018.951,470.0154997
9/11/14,477.78,480,465,475.9,7936.728594,3760607.145,473.8233266
9/10/14,473.34,492,473.32,476.57,11509.59447,5550004.169,482.2067521
9/9/14,468.32,476.4,459.18,473.2,9121.831258,4264939.065,467.5529446
9/8/14,477.4,478.39,456.3,468.33,14567.96158,6827728.892,468.6811435
9/7/14,479.99,483,474.95,475.43,2858.651753,1370027.765,479.256616
9/6/14,477.65,485,477.16,479.78,2770.796274,1332763.994,481.0039651
9/5/14,489.61,489.96,473.03,477.65,5212.434952,2511864.727,481.8985273
9/4/14,474.86,497,471.04,487.43,10793.60319,5233389.192,484.8602549
9/3/14,474.5,477.99,471,474.89,4742.884461,2252298.522,474.8794833
9/2/14,475.89,484.61,470.42,474.5,7333.51314,3501415.215,477.4540044
9/1/14,479.01,490,472.01,474.54,9091.871941,4362828.501,479.8603115
8/31/14,501.49,504.75,473.33,479.04,11289.83524,5492151.208,486.4686767
8/30/14,509.3,509.42,498.13,500.85,4403.402257,2214785.408,502.9714022
8/29/14,506.94,514.98,501.25,509.3,7246.606617,3681889.824,508.0846827
8/28/14,511.87,514.98,505.93,506,7119.023517,3631916.404,510.1705866
8/27/14,514.4,523.09,510,511.87,7791.964688,4021494.046,516.1078376
8/26/14,503.74,516,502.27,512.18,6716.160268,3422247.49,509.5541729
8/25/14,507.84,508.46,496.79,503.82,5773.916277,2902768.565,502.73825
8/24/14,496.96,515.95,495.02,507.85,5765.35732,2911002.83,504.9128212
8/23/14,514.65,514.69,487,497,8432.276517,4222668.932,500.7744853
8/22/14,519.29,528,500.01,514.65,15393.04567,7918280.9,514.4063799
8/21/14,516.39,534.14,510,519.28,14187.29752,7396159.406,521.3226408
8/20/14,491.98,527.01,466,516.39,19220.07652,9590674.739,498.9925366
8/19/14,474.74,493.98,453.01,491.98,17807.05683,8544405.412,479.8325458
8/18/14,498,510,442,475.22,28851.03396,13562442.43,470.085143
8/17/14,523.47,524.8,485.39,496.86,10314.49246,5174328.705,501.6561627
8/16/14,502.48,529.8,485,521.97,12657.92307,6409465.8,506.3599901
8/15/14,507.99,521.79,481.55,500.25,16594.58664,8310479.682,500.7946184
8/14/14,549.85,551.86,497,507.99,25826.72212,13325281.46,515.9493877
8/13/14,569.39,572,524.55,548.81,25509.09743,13894654.11,544.6940705
8/12/14,574.55,574.59,561.9,566.69,6463.803936,3671990.525,568.0850721
8/11/14,590.98,590.99,571,573.98,6086.602914,3529093.659,579.8133555
8/10/14,589.82,597,586,590.96,3211.091419,1899217.596,591.4554736
8/9/14,588.99,591.35,585.21,587.97,1626.625846,955797.1569,587.594965
8/8/14,585.84,595,584,588.02,4367.062237,2577603.289,590.2373607
8/7/14,581.16,591.9,579,585.84,4436.025389,2597668.938,585.5847768
8/6/14,581.75,586.36,576.44,581.16,7580.22972,4409726.81,581.7405241
8/5/14,588.5,589,578.25,581.76,6905.352922,4019064.85,582.0216426
8/4/14,588.96,595.7,581.8,588.5,5259.627835,3093635.019,588.185156
8/3/14,589.6,591,578.21,588.91,2802.921182,1636449.66,583.8372018
8/2/14,597.84,599.09,584.95,589.59,3529.718545,2088279.288,591.6277067
8/1/14,583.54,607.2,581.77,598.2,11939.59492,7112161.726,595.6786451
7/31/14,563.83,590,555.9,582.04,9383.413499,5410699.005,576.623742
7/30/14,585.93,586,557.12,563.84,10498.74204,5994579.052,570.9806973
7/29/14,589.88,591.95,578,585.95,4084.107673,2380636.712,582.9025341
7/28/14,592.61,596,570.5,586.53,10539.93211,6135233.295,582.0941946
7/27/14,596.23,602.83,589,590.3,3792.785274,2258634.494,595.5081375
7/26/14,602.93,603,590,596.23,3607.976218,2144841.383,594.472151
7/25/14,603.96,609.65,592.97,602.93,4843.778803,2907216.758,600.1960198
7/24/14,620.95,621.99,591.12,601.66,10241.00859,6198107.045,605.2242797
7/23/14,619.99,623,615.51,621,4040.737041,2506562.406,620.3230699
7/22/14,622.63,624.99,618.26,618.26,3364.104458,2094110.37,622.4867259
7/21/14,626.98,628,615,622.73,3959.655445,2453744.001,619.6862418
7/20/14,630,630,620,627,1467.591402,915913.3062,624.0928539
7/19/14,632.59,632.6,625,628.63,1923.591646,1209417.129,628.7286243
7/18/14,626.3,632.96,618.46,632.6,5026.340151,3145783.508,625.859654
7/17/14,617.39,629,610,622.2,4902.142579,3035783.454,619.2768581
7/16/14,622.9,625,610.01,616.86,5348.932953,3300210.953,616.9849167
7/15/14,621.15,626.25,616.09,622.9,3535.748071,2198983.688,621.9288377
7/14/14,630.88,632,616.84,621.17,3827.424526,2383643.954,622.7801327
7/13/14,637.9,638.73,626.09,630.88,4158.791125,2634221.171,633.4103088
7/12/14,634.99,642.57,628.7,638.1,3794.257548,2412482.577,635.8246763
7/11/14,616.87,635,613.46,635,6094.533675,3817169.744,626.326795
7/10/14,621.96,623.93,607.9,616.87,6335.712001,3899937.669,615.5484448
7/9/14,623.98,626.88,618.71,621.97,2303.755594,1434673.229,622.7540945
7/8/14,622.09,626.22,616.89,623.98,2675.173296,1663418.677,621.7984755
7/7/14,633.87,636,612.9,622.09,7109.077895,4431332.497,623.3343568
7/6/14,630.9,639,622.86,630.57,3334.943542,2107677.824,631.9980526
7/5/14,628.81,632.97,623.23,630,1830.57986,1152281.235,629.4624232
7/4/14,648.48,650.48,616.3,629,8739.046423,5528579.72,632.6296316
7/3/14,650.49,652.79,638.79,645.99,4969.91179,3209550.976,645.7963665
7/2/14,638.25,658.75,638,650.5,5305.552728,3446380.814,649.5799761
7/1/14,640,658.88,638,638.25,9497.739763,6160879.334,648.667945
6/30/14,599.86,647.09,595.51,641.11,15516.12604,9701645.346,625.2620869
6/29/14,591.46,601.79,589.56,599.89,1593.3318,949974.5981,596.2189409
6/28/14,599.99,604.21,589.56,589.56,3084.689479,1841609.108,597.0160433
6/27/14,580.09,600,574,599.99,9183.33155,5376272.467,585.4381318
6/26/14,560.4,580.11,557.2,579.99,4674.878928,2661521.189,569.3240895
6/25/14,574,579.7,554.45,560.4,8893.456973,5020766.169,564.5460684
6/24/14,588.22,588.25,572.1,572.62,6502.145114,3788579.1,582.666033
6/23/14,600.34,601,580.46,588.22,5295.944983,3112948.474,587.7984919
6/22/14,591.33,605.05,587.82,600.34,3856.989032,2310872.824,599.1390706
6/21/14,590,594.99,580,591.29,2949.190258,1734352.005,588.0773548
